Season,Name,Team,W,L,G,IP,K9,BB9,HR9,BABIP,LOB,GB,HRFB,ERA,FIP,xFIP,ID,release_pos_x,release_pos_z,release_pos_y,release_speed,pfx_x,pfx_z,release_spin_rate,spin_axis,n_pitches
2024,Aaron Civale,MIL,0,0,1,3.0,6.0,3.0,0.0,0.0,1.0,0.429,0.0,0.0,2.83,3.84,650644,-0.8911930344572063,6.371700629862913,54.84395702111893,86.57784364579474,0.1471619118191923,0.37292701000370504,2625.9955423476968,143.54234769687963,7.0
2019,Daniel Hudson,WSN,1,0,9,9.2,9.31,3.72,0.93,0.345,0.8220000000000001,0.1669999999999999,0.05,3.72,4.04,6.81,543339,-2.570271381578947,5.407097039473684,54.439375,93.45625,-0.5951891447368421,0.97,2501.016625103907,193.2483552631579,4.0
2018,Justin Verlander,HOU,2,1,3,17.1,8.83,4.15,1.04,0.205,0.679,0.435,0.1,4.15,4.08,4.49,434378,-1.9591291642314437,6.7781268264173,54.71379018118059,90.74498977505112,-0.4045704266510812,0.9424021040327294,2661.736379613357,165.18556399766217,5.0
2018,Caleb Ferguson,LAD,0,0,6,3.0,9.0,3.0,0.0,0.0,1.0,0.667,0.0,0.0,2.16,3.26,657571,1.67291917973462,5.992810615199035,54.554800965018096,88.9968636911942,0.43452352231604346,0.6540289505428227,2405.300361881785,196.47406513872136,4.0
2022,Ryne Stanek,HOU,0,0,4,3.0,18.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.11,1.1,592773,-0.5242793296089385,6.41127374301676,54.47890502793297,94.00581005586592,-0.6955083798882682,0.9069832402234637,2053.4675615212527,188.44854586129753,3.0
2024,Will Vest,DET,1,0,6,6.0,13.5,0.0,0.0,0.231,0.667,0.25,0.0,1.5,0.17,1.68,676684,-2.3980981067125646,5.550989672977625,54.30597246127367,93.28485370051635,-0.5966265060240964,0.7994061962134251,2138.256920415225,186.681660899654,4.0
2019,Julio Urías,LAD,0,1,3,3.2,0.0,0.0,0.0,0.267,0.25,0.286,0.0,7.36,3.21,7.01,628711,1.6418154761904762,6.1969047619047615,55.00865327380953,90.12105654761905,0.18979910714285714,1.0033333333333334,2424.6462010744435,188.24330357142858,5.0
2018,Ryan Brasier,BOS,0,0,9,8.2,7.27,5.19,0.0,0.269,0.923,0.44,0.0,1.04,3.62,5.34,518489,-1.2103909465020577,5.727592592592593,54.04288065843622,92.70123456790124,-0.20864197530864198,0.7628395061728396,2339.2057522123896,161.440329218107,4.0
2024,Keider Montero,DET,0,0,2,3.0,9.0,0.0,0.0,0.143,1.0,0.143,0.0,0.0,1.17,4.19,672456,-2.527907732293697,5.834548408057181,54.155399610136456,88.69200779727096,-0.062456140350877196,0.527264457439896,2375.3222871994803,150.1598440545809,5.0
2019,James Paxton,NYY,1,0,3,13.0,13.85,4.85,1.38,0.379,0.872,0.29,0.154,3.46,3.75,3.74,572020,2.40399924896733,6.0743710101389405,54.25976342470897,91.15009387908374,0.5018174990612091,0.7463762673676304,2177.0086433671554,185.0904994367255,4.0
2018,Junior Guerra,MIL,0,1,2,4.2,9.64,0.0,0.0,0.2,0.5,0.5,0.0,1.93,1.02,2.43,448855,-1.329799476896251,5.770832606800349,54.37258064516129,90.7196599825632,-0.5800479930191972,0.9360296684118674,2079.615212527964,193.08064516129033,5.0
2023,Seranthony Domínguez,PHI,0,0,6,5.1,11.81,5.06,0.0,0.375,0.889,0.375,0.0,0.0,2.32,3.87,622554,-1.8524796274738067,5.521804423748544,53.93915017462166,95.32176949941793,-0.46114086146682187,0.8839580908032597,2326.154025670945,195.22870478413068,4.0
2024,Ranger Suárez,PHI,0,0,1,4.1,16.62,8.31,0.0,0.556,1.0,0.556,0.0,0.0,2.24,3.29,624133,1.8133347493627867,5.84268054375531,54.13506796941376,85.35369583687341,0.3923661852166525,0.23672047578589636,1887.3245033112582,176.02560706401766,6.0
2017,David Hernandez,ARI,0,0,2,1.2,5.4,0.0,0.0,0.2,1.0,0.6,0.0,0.0,1.96,4.09,456696,-1.625689223057644,6.176340852130326,54.61825814536341,89.23796992481202,-0.33840852130325816,0.774561403508772,2305.2777070063694,182.70050125313284,4.0
2024,Gerrit Cole,NYY,1,0,5,29.0,6.83,3.1,0.31,0.286,0.674,0.239,0.02,2.17,3.13,5.24,543037,-2.3104432855280312,5.986597131681878,54.25652542372881,91.21512385919165,-0.050221642764015646,0.6195176010430248,2444.0925684485005,159.7959582790091,6.0
2023,Jeff Hoffman,PHI,1,1,8,7.0,11.57,1.29,1.29,0.267,0.893,0.563,0.1669999999999999,2.57,3.4,2.96,656546,-2.588089758342923,6.114131185270426,53.91726121979286,91.46846950517838,-0.3851668584579977,0.49265822784810126,2511.738780207135,154.79861910241658,4.0
2023,Slade Cecconi,ARI,0,0,2,2.0,4.5,0.0,0.0,0.4,1.0,0.4,0.0,0.0,2.26,3.91,677944,-1.834138755980861,5.6761722488038275,54.119138755980856,88.46004784688996,-0.494377990430622,0.556244019138756,2300.314148681055,169.30695443645084,5.0
2024,Aaron Bummer,ATL,0,0,1,2.2,3.38,3.38,0.0,0.0,1.0,0.8,0.0,0.0,3.54,4.11,607481,2.4297843942505133,5.131211498973306,54.21754620123203,88.01632443531827,0.05708418891170431,0.07207392197125256,2341.6242299794662,197.6488706365503,6.0
2021,Pete Fairbanks,TBR,0,0,2,2.2,6.75,3.38,3.38,0.0,1.0,0.3329999999999999,0.25,3.38,7.67,5.44,664126,-0.2535012919896641,6.955426356589148,53.85607235142119,92.2890180878553,0.1403359173126615,0.6880232558139534,2387.5559895833335,128.08333333333334,3.0
2024,Cade Smith,CLE,1,0,9,10.0,14.4,1.8,0.9,0.222,0.536,0.278,0.091,3.6,1.87,2.23,671922,-2.6293825042881647,5.744914236706689,53.15360205831904,93.01620926243567,-0.5484305317324185,0.9616380789022299,1963.4285714285713,207.65232358003442,3.0
2018,Touki Toussaint,ATL,1,0,2,3.0,6.0,12.0,0.0,0.143,1.0,0.5710000000000001,0.0,0.0,5.83,6.93,657053,-1.9483333333333333,5.338080168776371,53.89635021097046,86.7723628691983,-0.440042194092827,0.07284810126582279,2063.5813953488373,193.09071729957805,4.0
2021,Adam Wainwright,STL,0,0,1,5.1,8.44,3.38,1.69,0.231,1.0,0.5379999999999999,0.25,1.69,4.86,3.74,425794,-1.1962711864406779,6.293288787483704,54.0229889178618,82.39432855280313,0.20033898305084746,0.14297913950456323,2442.018991486575,140.6535690897184,6.0
2021,Josh Taylor,BOS,0,0,6,4.0,4.5,0.0,0.0,0.286,0.75,0.429,0.0,2.25,2.17,4.38,657031,2.3221618204804044,5.692857142857143,53.703350189633376,90.43843236409609,0.019873577749683947,0.7554487989886219,2250.9226869455006,191.9252217997465,4.0
2018,Rick Porcello,BOS,1,0,5,15.1,6.46,1.17,1.76,0.255,0.87,0.327,0.136,3.52,4.86,4.68,519144,-1.8912504038772213,5.994045234248788,54.599043618739906,86.06313408723749,-0.45651050080775446,0.5697318255250403,2414.558319870759,188.29273021001615,5.0
2022,Kyle Gibson,PHI,0,0,2,2.1,7.71,3.86,0.0,0.286,1.0,0.857,0.0,0.0,2.68,3.32,502043,-2.296710478276743,6.261646586345382,53.78751004016064,87.85684556407448,-0.3883570646221249,0.467364001460387,2245.5001825483755,174.86600949251553,7.0
2023,Cody Bradford,TEX,1,0,5,7.2,5.87,0.0,1.17,0.143,1.0,0.19,0.067,1.17,3.65,5.19,674003,0.6862114989733059,6.0320533880903495,53.1526796714579,87.25759753593428,0.6769609856262834,1.2062217659137575,2043.906570841889,150.10472279260782,4.0
2021,Eric Lauer,MIL,0,0,1,3.2,4.91,4.91,0.0,0.333,0.7140000000000001,0.083,0.0,4.91,4.53,9.35,641778,1.7956901840490798,5.94168200408998,54.472765848670754,88.8611963190184,0.49444785276073616,0.8721625766871166,2212.937799043062,170.26528442317917,5.0
